entity,canonical_table,canonical_id,natural_identifier,owner_scope,parent_entity,lifecycle_states,archive_behaviour,api_representation,main_tms_representation,planning_workspace_representation,duplication_risk_notes
"National","national_entities","id (UUID)","short_name (default ""NATIONAL"")","national","(root)","none (no active_status/archive)","none — never archived/deleted","GET /api/national/overview, /api/auth/organisations","National dashboard/overview pages","/national-overview route","SAME CONCEPT single table. Effectively a singleton (one HQ row). national_id references on wings/users are real FKs; national_id on activities/program_items/program_packages are plain String(36) with no FK (unenforced)."
"Wing","wings","id (UUID)","code (String(20) UNIQUE, e.g. 7WG)","national","National (national_id FK->national_entities.id)","active_status (bool)","is_archived + archived_at (SoftDeleteMixin) + active_status","GET/POST /api/wings, archive/restore/archive-impact","wing-overview, wing-activities, wing-calendar pages","/wing-overview route","SAME CONCEPT single canonical table. BUT wing_id is stored as unenforced String(36) with NO ForeignKey on ~15 tables (parade_nights, activities, cea_activities, anchor_events, program_items, action_items, exceptions, etc.). Only users.wing_id is a real FK. Systemic missing-FK / orphan risk on wing tenancy."
"Squadron","squadrons","id (UUID)","code (String(20) UNIQUE, e.g. 703)","squadron","Wing (wing_id FK->wings.id)","active_status (bool)","is_archived + archived_at + active_status; dependency-gated delete via services.fk_dependents","GET/POST/PATCH/DELETE /api/squadrons, archive/restore/archive-impact","squadron dashboards, most pages","referred to as ""unit""; unit_id FKs across planning tables","SAME CONCEPT single canonical table. Naming split: called ""squadron"" in Main TMS/organisations but ""unit""/unit_id in planning module (parade_dates.unit_id, cea_activities.unit_id, planning_locations.unit_id all FK->squadrons.id). Same entity, two column names — verified via FK targets."
"Specialist Unit","squadrons (unit_type column)","squadrons.id (UUID)","code + unit_type in {standard_squadron, specialist_squadron, specialist_flight, support_unit}","squadron","Wing","active_status","inherits Squadron archive behaviour","same as Squadron endpoints (no dedicated API)","surfaced via unit_type field on squadron records","same (unit_type field)","NOT A SEPARATE ENTITY. ""Specialist Unit"" is a unit_type enum value on squadrons (models/organisations.py:25-39), using the identical account/tenancy model as a standard squadron. No duplicate table. Correct design — do not create a separate table."
"Flight grouping","flights","id (UUID)","name (String(60)); no uniqueness constraint","squadron","Squadron (squadron_id FK->squadrons.id)","active_status","is_archived + archived_at + active_status","GET/POST/PATCH /api/flights, archive","account/cadet flight assignment","(no dedicated PW route)","SAME CONCEPT single table. Deliberately NOT a tenancy level (architecture.md) — users.flight_id is a real FK but grants no scope. Note two OTHER unrelated uses of the word ""flight"": cadets.flight is a free-text String(40) label (not FK to flights.id), and TimingBlock block_type 'flight_period' is a timing slot. DIFFERENT CONCEPTS WITH SIMILAR NAME — do not merge. cadets.flight free-text vs flights table is a real text-that-should-be-FK candidate (needs human judgment whether intentional)."
"Account","users (+ access_codes)","users.id (UUID)","no natural key (display_name not unique); access_codes.code_hash 1:1","national/wing/squadron per role","org entity via national_id/wing_id/squadron_id FKs; flight_id FK","active_status; token_version; lockout via access_codes.failed_attempts/locked_until","is_archived + archived_at + active_status; dependency-gated delete","17 /api/accounts endpoints + /api/auth/*","accounts page","/accounts route","SAME CONCEPT. User is canonical; AccessCode is a real 1:1 child (FK user_id). All org scope FKs on users ARE enforced (national/wing/squadron/flight) — one of the few fully-constrained tables. No duplication."
"Cadet","cadets","id (UUID)","service_number (String(40), indexed, NOT unique)","squadron","Squadron (squadron_id FK)","active_status; support_flag","is_archived + archived_at + active_status","GET /api/cadets, /api/cadets/risk","cadets page (Main TMS)","/cadets route","SAME CONCEPT single table. Missing UNIQUE on service_number — duplicate cadet records could silently accumulate on re-import (index only). cadets.phase and cadets.flight are free-text with no FK to phase/flights catalogues."
"Facilitator","facilitators","id (UUID)","first_name+last_name+squadron (no uniqueness constraint)","squadron","Squadron (squadron_id FK)","active_status","is_archived + archived_at + active_status; merge via POST /api/facilitators/{fid}/absorb (dedup feature)","GET/POST/PATCH/DELETE /api/facilitators, /absorb, /stats, /import; GET /api/planning/facilitators","facilitators page","/facilitators route (reads /api/planning/facilitators)","SAME CONCEPT single canonical table read by both frontends. No natural-key uniqueness constraint — duplicates possible on import (mitigated by the shipped absorb/merge dedup feature, REM program). facilitator_rank_history is a real child (FK)."
"Facilitator Type","facilitator_type_tags (+ facilitators.type free-text)","facilitator_type_tags.id (UUID)","normalised_name (indexed, NOT unique within scope)","global/wing/squadron (scope column)","Squadron (squadron_id FK, nullable)","is_active (bool)","is_active only; DELETE = archive (soft)","GET/POST/DELETE /api/facilitator-type-tags","facilitator type tag admin","(shared tag data)","SAME CONCEPT, INTENTIONAL DUAL REPRESENTATION. facilitator_type_tags is an advisory reference catalogue; facilitators.type stays free-text String(30) by design (models/training.py:164-178 documents this — NOT a hard FK, mirrors subject_areas). Duplication risk: no UNIQUE on normalised_name+scope, so duplicate tags can accumulate; free-text facilitators.type can drift from the catalogue."
"Subject Area","subject_area_tags (+ facilitators.subject_areas JSON)","subject_area_tags.id (UUID)","normalised_name (indexed, NOT unique within scope)","global/wing/squadron (scope column)","Squadron (squadron_id FK, nullable)","is_active (bool)","is_active only; DELETE = archive","GET/POST/DELETE /api/subject-area-tags","subject-area tag admin","(shared tag data)","SAME CONCEPT, same intentional dual shape as Facilitator Type. facilitators.subject_areas is a JSON list of free-text strings, not FKs to subject_area_tags. Also anchor_prep_rules.subject_area is a third free-text home for the same concept. No UNIQUE on normalised_name+scope. Needs human judgment: intended advisory design vs missing constraint."
"Training Stage","(fragmented) phases / curriculum_phases / custom_phases + free-text phase columns","phases.id / curriculum_phases.id / custom_phases.id (UUIDs)","name / short_name (no cross-table uniqueness)","global (phases); scoped (curriculum_phases); squadron (custom_phases)","varies (custom_phases.squadron_id FK)","active_status","curriculum_phases: is_archived+archived_at; phases/custom_phases: none","GET /api/phases; GET/POST /api/curriculum/phases","phase shown on curriculum/cadet","phase used in planning grid","THREE tables model the same 'phase/stage' concept: phases (cadet-program global catalogue), curriculum_phases (scoped catalogue mirroring elements), custom_phases (per-squadron). PLUS free-text phase columns on curriculum_items.phase, cadets.phase, learning_hub_resources.phase, sessions.phase_at_time, and program_items.phase_id (String, no FK) / phase_name_at_time. LARGEST FRAGMENTATION in the schema. Likely SAME CONCEPT across 3 tables — needs human judgment on canonicalisation; do NOT auto-merge (historical free-text data)."
"Curriculum Item","curriculum_items (+ program_items parallel model)","curriculum_items.id (UUID)","identifier (String(80), indexed, uniqueness enforced in APP logic not DB)","national/wing/squadron (owning_level)","org via owning_level (wing_id/squadron_id plain String, no FK)","active_status; retired_at; replacement_curriculum_id","is_archived + archived_at + active_status","GET/POST/PATCH/DELETE /api/curriculum, phases, elements, imports","curriculum page (Main TMS)","/curriculum route","curriculum_items is canonical for Main TMS training. program_items (cadet-program module, 35 cols) is a PARALLEL richer model of the same 'lesson/mission' concept with its own package/deployment/promotion workflow. LIKELY SAME CONCEPT, two implementations (needs human judgment: convergence vs deliberate two-track). replacement_curriculum_id is a self-reference with NO FK. identifier has no DB UNIQUE (409 check is app-level only)."
"Activity","activities (+ cea_activities parallel)","activities.id (UUID)","cea_seq_nr (nullable) / activity_name (not unique)","national/wing/squadron (owning_level)","org (national_id/wing_id/squadron_id all plain String, no FK)","risk_status, permission_status, workflow_status, closeout_status","is_archived + archived_at","GET/POST/PATCH/DELETE /api/activities, /national, /wing, /import-cea","activities / national-activities / wing-activities pages","(CEA overlay via cea_activities)","DIFFERENT-BUT-OVERLAPPING. activities (Main TMS training events) and cea_activities (Planning Workspace CEA-import overlay, 35 cols) both model 'an activity'. They share a link via activities.cea_seq_nr text vs cea_activities.cea_activity_id text — a text relationship that is NOT a real FK. Needs human judgment whether these should reconcile. No FK on any activities org column."
"CEA import","cea_import_batches (+ cea_activities rows)","cea_import_batches.id (UUID)","source_file_name + planning_year","wing (wing_id plain String)","PlanningYear (planning_year_id FK)","counts only (row/created/updated/duplicate/skipped/error)","none (batches retained)","POST /api/planning/years/{id}/cea/import, GET .../cea/batches, .../cea/activities","(not in Main TMS)","CEA import/classify UI","SAME CONCEPT single batch table. cea_import_batches.wing_id and imported_by are plain String (no FK). cea_activities.import_batch_id IS a real FK. Batch already tracks duplicate_count — dedup awareness exists. No duplication of the batch table itself."
"Holiday","holiday_periods","id (UUID)","name + start_date+end_date (no uniqueness)","(via planning year)","PlanningYear (planning_year_id FK)","affects_parade (bool)","none — HARD DELETE only (DELETE /api/planning/holidays/{id}), no is_archived","GET/POST/PATCH/DELETE /api/planning/years/{id}/holidays","(not in Main TMS)","holidays in planning calendar","SAME CONCEPT single table. No soft-delete/archive — hard delete only, an inconsistency with the archive-everywhere pattern used by most entities (needs human judgment: acceptable for holidays vs data-safety gap). No uniqueness — duplicate holidays possible."
"Notice","planning_notices","id (UUID)","notice_text (no natural key)","(via planning year/parade date)","ParadeDate (parade_date_id FK, NOT NULL) + PlanningYear (FK)","priority; version (optimistic lock)","is_archived (bool only, NO archived_at)","GET/POST/PATCH /api/planning/parade-dates/{id}/notices, archive","(not in Main TMS)","notices in weekly/parade planning","SAME CONCEPT single table. Archive is is_archived bool only — missing archived_at timestamp that most soft-deleted tables carry (minor inconsistency)."
"Planning Year","planning_years","id (UUID)","year (int) + unit_id (no uniqueness constraint)","squadron (unit_id) / wing","Squadron (unit_id FK); wing_id plain String","active_status; version (optimistic lock)","active_status only — NO is_archived; dependency-gated delete via fk_dependents","GET/POST/PATCH/DELETE /api/planning/years, rollover","(not in Main TMS)","central object of /planning route","SAME CONCEPT single table. No is_archived (uses active_status + hard delete with dependency gate). No UNIQUE on (unit_id, year) — a squadron could get duplicate planning years for the same year (needs human judgment)."
"Parade Night","parade_nights (+ parade_dates parallel)","parade_nights.id (UUID)","squadron_id + date (no uniqueness constraint)","squadron","Squadron (squadron_id FK); wing_id plain String (no FK)","published_status, planning_status, data_quality, closeout_status; readiness_score (derived)","is_archived + archived_at","GET/POST/PATCH/DELETE /api/parade-nights, builder, publish, close","parade-nights page (Main TMS)","parade_dates drives /parade-nights + weekly-program","TWO PARALLEL MODELS of the parade evening: parade_nights (Main TMS, the delivery record) and parade_dates (Planning Workspace, the planning-calendar slot). Bridged by parade_dates.parade_night_id — a String(36) with NO ForeignKey (models/planning.py:52 comment says 'FK -> parade_nights.id' but it is NOT declared). create_session auto-creates/links a ParadeNight from a ParadeDate (planning.py:1507-1513). SAME real-world concept, two tables, UNENFORCED bridge = orphan risk. parade_nights.timing_template_id also String, no FK."
"Session","sessions (canonical) + scheduled_sessions (legacy, never written)","sessions.id (UUID)","parade_night + period_number + cadet_group (no uniqueness)","squadron","ParadeNight (parade_night_id FK)","status; version; heavily denormalised *_at_time snapshot columns","is_archived + archived_at (both tables)","POST/PUT /api/sessions, status, status-history; POST /api/planning/parade-dates/{id}/sessions (writes to sessions)","sessions under parade-nights builder","planning grid — writes now go to sessions (TrainingSession)","TWO TABLES, ONE LIVE. sessions is canonical. scheduled_sessions (ScheduledSession) is NEVER instantiated anywhere (verified: zero create call sites) — a superseded v14 model. BUT it is still READ by two live endpoints (see 03 report §3): command-centre curriculum-coverage + missing-facilitator counts, and facilitator-leave impact. Because the table is empty those reads silently return wrong values. sessions.curriculum_item_id / facilitator_id / training_area_id / squadron_id are all plain String (no FK) — only parade_night_id is enforced. HIGH-priority Phase B item."
"Training Area","training_areas (canonical) + planning_locations (legacy, never written)","training_areas.id (UUID)","squadron_id + name (no uniqueness)","squadron","Squadron (squadron_id FK)","availability_status; active_status","is_archived + archived_at + active_status (training_areas); planning_locations has neither","GET/POST/PATCH/DELETE /api/training-areas; GET/POST/PATCH /api/planning/locations (all now map to training_areas)","Resources page rooms","Rooms tab (now reads/writes training_areas)","TWO TABLES, ONE LIVE. training_areas is canonical (Main TMS + Planning Workspace after the 'Rooms merger'). planning_locations (PlanningLocation) is NEVER instantiated; only one residual READ site (_session_out for legacy ScheduledSession rows, planning.py:313). scheduled_sessions.location_id is still an FK to planning_locations.id — a live FK pointing at a dead table. SAME CONCEPT, migration ~complete; residual dead references remain."
"Equipment","equipment","id (UUID)","squadron_id + name (no uniqueness)","squadron","Squadron (squadron_id FK)","condition; approval_required; active_status","is_archived + archived_at + active_status","GET/POST/PATCH/DELETE /api/equipment","equipment under resources","(via resources)","SAME CONCEPT single table. Separately, equipment as a REQUIREMENT is free-text: sessions.equipment_required (Text) and program_items.required_equipment (Text) — neither links to equipment.id. Text-that-could-be-relational, but likely intentional (free-form requirement notes). Needs human judgment."
