gap_id,requirement_ids,area,severity,user_role,scope,interface,current_behaviour,expected_behaviour,reproduction,evidence,root_cause,dependencies,risk,implementation_plan,test_plan,migration_needed,design_needed,security_review_needed,staging_evidence,commit,status,remaining_work
SYN-H01,"SRC-001 Part 79; SRC-010; .claude/rules/architecture.md",Auth/Cookie,P0,All roles (especially Safari users),Cross-origin (PW handoff),Both frontends + config.py,"COOKIE_SAMESITE defaults to 'lax' (config.py:50). Safari drops cross-origin cookies with SameSite=Lax on a GET navigation. Opening Planning Workspace from main TMS nav loses the session cookie and forces re-login.","COOKIE_SAMESITE=none (with Secure=true) in staging/production so Safari preserves the session cookie on cross-origin navigation to PW.","1. Login as sqn_admin on main TMS (Safari). 2. Click 'Open Planning Workspace' nav item. 3. PW loads as unauthenticated — no session cookie sent.","config.py:50 — COOKIE_SAMESITE: str = 'lax'; auth.py:224 and auth.py:358 — samesite=settings.COOKIE_SAMESITE","COOKIE_SAMESITE is not overridden per-environment in staging/prod Railway variables. Architecture doc confirms SameSite=None is load-bearing for cross-origin handoff.",None — config change only,"Safari session loss on PW handoff. Affects all users who navigate from main TMS to PW in Safari. Session recovery requires re-login.","Set COOKIE_SAMESITE=none in Railway staging and production environment variables. MUST pair with COOKIE_SECURE=true (already set). No code change needed — config reads env var.","Test: POST /api/auth/login → verify Set-Cookie header contains SameSite=None; Secure. Playwright test: login in Chrome → navigate to PW → assert /api/auth/me returns 200.",N,N,N,Not yet verified on staging,,"OPEN — P0 blocker","Set COOKIE_SAMESITE=none in Railway staging environment variable. Verify in Playwright cross-origin test."
K-004,"SRC-001 Part 42; SRC-001 Parts 41-43",Planning Workspace / Backend,P1,sqn_admin/wing_admin,Squadron,Planning Workspace — Training Area picker,"planning.py:_location_out() (lines 318-333) returns location object without the 'capabilities' field. PW receives no capabilities data when listing training areas for session scheduling.","All TrainingArea fields including 'capabilities' (JSON list) must be present in _location_out() response so PW can show capability badges and filter by capability.","Call GET /api/planning/{year_id}/sessions from PW. Inspect the location objects in the response — no 'capabilities' key present even though TrainingArea model has it.","planning.py:318-333 — _location_out() missing capabilities; training.py models/training.py:226-250 — capabilities field EXISTS in model","_location_out() was written before the capabilities field was added to TrainingArea. Serializer was never updated.",TrainingArea.capabilities mapped_column(JSON) — already in model,"PW cannot surface training area capabilities to planners. Capability-based session filtering is silently broken.","Add 'capabilities': loc.capabilities to _location_out() dict at planning.py:318-333. Single-line addition.","Test: create TrainingArea with capabilities=['projector','wheelchair']. GET /api/planning/{year}/sessions. Assert location.capabilities == ['projector','wheelchair'].",N,N,N,,,OPEN — P1,"Add capabilities to _location_out() in planning.py:318."
K-005,"SRC-001 Part 30; SRC-001 Parts 22-25",Planning Workspace / Backend,P1,sqn_admin/wing_admin,Squadron,Planning Workspace — Session list,"planning.py:_real_session_out() line 385 hardcodes 'is_combined': False regardless of how many SessionAudience rows the session has.","is_combined must be True when a session has more than one SessionAudience (i.e. multiple training classes attend).","Create a session with two SessionAudience rows. GET /api/planning/{year}/sessions. Assert is_combined is True for that session.","planning.py:385 — 'is_combined': False (hardcoded); SessionAudience model and relationship on Session exist","is_combined was hardcoded as a placeholder and never replaced with the derived value.",SessionAudience — the canonical relation between Session and training classes,"is_combined is always False in PW — combined-training sessions appear identical to single-class sessions. Planners cannot distinguish combined sessions.","In _real_session_out(), replace hardcoded False with: len([a for a in s.audiences if not a.is_archived]) > 1. Requires eager-loading or len() on already-loaded relationship.","Test: session with 1 audience → is_combined False. Session with 2 audiences → is_combined True. Session with 2 where one is archived → is_combined False.",N,N,N,,,OPEN — P1,"Replace hardcoded False in planning.py:385 with len(s.audiences) > 1 derived check."
K-001,"SRC-001 Part 104; SRC-008",Testing / Deploy Gate,P1,CI/CD,All,scripts/deploy-staging.sh,"5 tests deselected in deploy gate (lines 715-731 of deploy-staging.sh): test_rate_limiting.py::test_login_spike_emits_security_log, test_rate_limiting.py::test_login_spike_repeats_on_subsequent_multiples, test_rate_limiting.py::test_5xx_spike_emits_security_log, test_timing.py::test_bulk_schedules_match_single_endpoint_exactly, test_year_context.py::test_year_listing_includes_future_years_with_no_row. These pass in isolation but fail in full-suite run due to cross-test contamination.","All tests should pass in full-suite run with no deselections. The deploy gate should run the complete test suite.","Run: python -m pytest tests/ -q. Observe 5 failures due to: (1) log-dedup state for rate limiting tests, (2) rate limiter exhaustion (429) for timing test, (3) ensure_year_context side-effects for year test.","scripts/deploy-staging.sh:715-731 — deselect list; docs/final/00-baseline.md — root causes documented","Rate limiting tests: tests earlier in the suite exhaust the log-dedup window. Timing test: rate limiter exhausted by 2000+ prior test calls. Year test: ensure_year_context materialises rows as side-effect of other tests.",None,"Deploy gate excludes security-relevant tests (rate limiting spike alerts). A regression in rate-limiting alerting would not be caught by the deploy gate.","(a) Rate limiting tests: add reset_rate_limit_state() fixture in conftest.py. (b) Timing test: add test-mode bypass or run before rate-exhausting tests. (c) Year test: reset ensure_year_context materialisations in fixture teardown. Remove deselect lines from deploy-staging.sh once fixed.","After fix: run python -m pytest tests/ -q — must pass with 0 failures and 0 deselections. Rerun 3 times to verify determinism.",N,N,N,,,OPEN — P1,"Fix 3 test isolation issues. Remove deselections from deploy-staging.sh once green."
DES-H01,"SRC-001 Parts 87-96; SRC-007; WCAG 2.2 SC 1.4.3",Design / Accessibility,P1,All roles,All,connected-frontend/index.html,"AAFC blue (#51b0e3) used in some text contexts. On light backgrounds (#f4f8fc or #ffffff), the contrast ratio is approximately 2.26:1 (white) to 2.41:1 (page background). WCAG 2.2 requires 4.5:1 for normal text, 3:1 for large/bold text.","Blue as text colour must be used only on dark backgrounds (≥3:1 contrast) or replaced with --dark (#002f65, 21:1 on white) for body text usage.","CSS audit: grep 'color:var(--blue)' and 'color:#51b0e3' in index.html; for each result determine the background context and compute contrast ratio.","index.html lines 234, 244 (.tb-wm .r — on dark header, PASSES). index.html line 234 (.auth-back-btn — on dark auth bg, PASSES). May be additional usages in inline styles or JS-rendered content.","Design token choice made before WCAG audit. Blue accent serves as interactive affordance at low contrast.",Requires full CSS audit to enumerate all text usages of var(--blue),"WCAG AA failure. Accessibility non-compliance on light-surface blue text. Could affect users with low vision.","Run CSS audit for all color:var(--blue) and color:#51b0e3 usages. For each: if on light bg, replace with var(--royal) (#004b8d, 7.3:1 on white) or var(--dark) (#002f65). Do not change border, background, or shadow usages.","After fix: automated contrast check via axe-core or manual computation. Assert each fixed element has contrast ≥ 4.5:1 (normal text) or ≥ 3:1 (large/bold).",N,Y,N,,,OPEN — P1,"Full CSS audit for blue-as-text on light backgrounds. Replace with --royal or --dark where failing."
DES-H03,"SRC-001 Part 94; HIG; WCAG 2.2 SC 2.5.8",Design / Accessibility,P1,All roles,All,connected-frontend/index.html,"Some interactive controls (icon buttons, small nav items, compact row actions) may not meet the 44×44pt (HIG) / 24×24px (WCAG 2.2 SC 2.5.8 minimum) touch target floor.","All interactive controls must have a minimum 44×44pt touch activation area (HIG) or 24×24px spacing (WCAG 2.2 AA minimum). Row-action buttons are the primary risk area.","On a touch device: attempt to tap small icon buttons in table rows, parade night action buttons, and compact nav items. Measure activation area.","design review synthesis (SRC-011) identified this as a failing gate. index.html audit needed for button/icon sizing.",Touch target sizing was not systematically enforced during initial implementation.,Requires visual inspection and CSS measurement of hit areas,"Accessibility regression on touch devices. Affects users on tablets/mobile (some AAFC users use iPads).","Identify all interactive elements smaller than 44×44pt. Add min-width/height or padding to expand hit area without changing visual size (use padding + negative margin, or wrapper approach). Focus on: table row action buttons, parade night controls, nav items on mobile.","Test: CSS computed style check for min touch area. Manual touch test on iPad viewport. Check 10 highest-density action areas.",N,Y,N,,,OPEN — P1,"Systematic touch target audit of index.html. Fix undersized controls."
DES-H04,"SRC-001 Parts 87-96; SRC-007",Design / Typography,P1,All roles,All,connected-frontend/index.html,"--fs-4xs is 8px (index.html line 87). Some badge/label elements may use this or smaller sizes. Per SRC-001 and project memory, minimum is 10px for labels and 9px for badges.","No text element should be smaller than 9px (badges) or 10px (labels). --fs-4xs (8px) should only be used for decorative/non-informational content.","Grep for --fs-4xs and fs-3xs usages. Check each usage is within allowed size range.","index.html:87 — --fs-4xs: 0.5rem (8px); index.html:88 — --fs-3xs: 0.5625rem (9px). Project memory confirms 10px UI chrome / 11px sub-text / 10px labels / 9px badges. Usage audit needed.","Type scale tokens were defined without a hard floor on minimum usage. Some legacy usages may have crept below the 9px floor.",Token audit required,"Readability failure at small sizes. Potential WCAG failure (1.4.4 Resize Text, 1.4.12 Text Spacing).","Audit all --fs-4xs usages. If used for readable text: replace with --fs-3xs (9px minimum for badges) or --fs-xs (11px for sub-text). If decorative only: acceptable. Update --fs-4xs comment to mark as decorative-only.","After audit: verify no readable text uses --fs-4xs. Visual check at 100% zoom.",N,N,N,,,OPEN — P1,"Audit --fs-4xs usages in index.html. Replace in any readable text context."
K-007,"SRC-001 Parts 33-38",Curriculum / Planning,P1 HUMAN_DECISION,sqn_admin,Squadron,Planning Workspace + Backend,"CurriculumItem has no is_optional field (planning.py:354 — comment confirms this was deferred). Optional tier filter in PW curriculum view is a no-op.","System needs a decision on whether curriculum items can be marked optional, and if so: (a) add migration + is_optional field to CurriculumItem, (b) surface the flag in PW, (c) filter accordingly.","Review planning.py:354 comment. Attempt to filter curriculum by optional tier in PW — no items are marked optional.","planning.py:354 — comment 'CurriculumItem has no is_optional field — Optional tier filter requires a future migration'","Deferred during initial implementation. The optional tier concept was specified but not implemented.",Migration required to add is_optional boolean field to CurriculumItem,"Curriculum taxonomy is incomplete. Planners cannot distinguish required vs optional curriculum. May affect compliance reporting if optional items inflate required counts.","HUMAN DECISION: (1) Should is_optional exist as a per-item field or as a tier/category field? (2) Does AAFC curriculum have a mandatory vs optional distinction? Once decided: migration + model field + PW filter.","Test: mark item as optional. Assert it appears in optional filter. Assert non-optional items are excluded from optional filter.",Y,N,N,,,OPEN — HUMAN DECISION,"Await product decision on is_optional semantics. Then: migration + model + PW filter."
K-009,"SRC-001 Parts 26-28",Training Class / Stage,P1 HUMAN_DECISION,sqn_admin,Squadron,Backend + Connected Frontend + Planning Workspace,"Stage catalogue is narrow — only basic stages defined. SRC-001 Parts 26-28 define a richer stage taxonomy for Training Classes.","Stage catalogue must match the AAFC programme structure as specified in SRC-001 Parts 26-28. Current stage list may be missing stages.","List training class stages from GET /api/training-classes/stages (or equivalent). Compare to SRC-001 Parts 26-28 stage taxonomy.","SRC-001 Parts 26-28 — authoritative stage list; setup.py or seed data — current stage list","Stage catalogue was seeded with a basic set. Full taxonomy from SRC-001 not yet verified as complete.",Requires domain knowledge of AAFC training programme structure,"Training classes assigned to incorrect or missing stages. Reporting by stage may be incomplete or misleading.","HUMAN DECISION: Map current stage list to SRC-001 Parts 26-28. Identify gaps. Add missing stages as seed data (no migration needed if stages are lookup/reference data).","Test: GET /api/training-classes/stages returns all stages from SRC-001 Parts 26-28. Seed data test.",N,N,N,,,OPEN — HUMAN DECISION,"Await confirmation of complete stage list from domain authority. Then update seed data."
K-002,"SRC-001 Part 104; SRC-008",Testing / Documentation,P2,CI/CD,All,scripts/deploy-staging.sh,"scripts/deploy-staging.sh references docs/beta/test_isolation_known_issues.md (line 715 context) but this file does not exist.","File must either be created (documenting the 5 known isolation issues and their root causes) or the reference removed.","ls docs/beta/test_isolation_known_issues.md — returns not found.","scripts/deploy-staging.sh:715-731 references the file; file does not exist in docs/beta/","File was planned but never created. Reference is stale.",None,"Deploy script references a non-existent document. Slightly misleading to future maintainers.","Create docs/beta/test_isolation_known_issues.md documenting the 5 isolation issues, or remove the reference from the deploy script.","Verify file exists at expected path after creation.",N,N,N,,,OPEN — P2,"Create docs/beta/test_isolation_known_issues.md or remove the stale reference."
