entity,real_world_meaning,canonical_model,canonical_table,canonical_id,primary_TMS_home,PW_representation,create_authority,edit_authority,archive_policy,delete_policy,scope_rule,year_rule,audit_rule,legacy_models,legacy_status,migration_required,tests,final_status
Training Year context,The calendar year training runs in,PlanningYear,planning_years,id,"Year selector (context, not a page)",Same year integer in the context strip,materialise-on-write only,no user lifecycle edit,active_status=false is the archive flag (no is_archived column),not user deletable,wing_id + unit_id; unit_id NULL for wing/national rows,IS the year (year column),audited on copy-setup and rollover,none,n/a,no,test_year_context.py (25),CANONICAL
Training Class,A squadron's delivery group for a Stage in a year,TrainingClass,training_classes,id,Activities > Training Classes,Audience selection when placing Sessions,sqn_admin+,sqn_admin+,is_archived,dependency-gated,squadron_id,training_year_id (NOT NULL),version + created_by/updated_by,none,n/a,no,training-classes.spec.ts,CANONICAL
Training Stage,"The program level (Senior, Bronze...)",CurriculumPhase,curriculum_phases,id,Curriculum / Reference Data,Read-only label on classes,wing/national governed,scope-dependent,is_archived,restricted,wing_id + squadron_id (inheritable),not year-scoped,created_by/updated_by,none,n/a,no,backend curriculum tests,CANONICAL
Custom Training Phase,Ambiguous: planning band or a second Stage,CustomTrainingPhase,custom_training_phases,id,unclear,unclear,unclear,unclear,NO is_archived,unclear,NO SCOPE COLUMNS AT ALL,not year-scoped,no created_by/updated_by,CurriculumPhase overlaps semantically,"LIVE, UNSCOPED",TBD by decision,none found,HUMAN DECISION REQUIRED
Parade Night,One training evening at a squadron,ParadeNight,parade_nights,id,Parade Nights,The night canvas being planned,sqn_admin+,sqn_admin+,is_archived,dependency-gated,wing_id + squadron_id,"via parade_dates.planning_year_id, not a direct column",version + created_by/updated_by,ScheduledSession (historical),removed,no,parade-night-*.spec.ts,CANONICAL
Timing Template,The evening's time structure,TimingTemplate,timing_templates,id,Unit Settings > Parade Night Structure,Must display blocks when planning (Part 14),sqn_admin+,sqn_admin+,is_archived,restricted,squadron_id,"effective_from dating, not year-scoped",version,Session Structure / Default Periods cards overlap,THREE COMPETING UI CARDS,no (UI only),timing tests,"CANONICAL MODEL, INCOHERENT UI"
Training Period / Timing Block,When training can occur,TimingBlock,timing_blocks,id,Inside the template editor,Slots that Sessions are placed into,via template,via template,no is_archived,cascade with template,none (inherits template),none,none,none,n/a,no,timing tests,CANONICAL
Session,What training occurs,Session,sessions,id,Parade Night detail,Placed on a Training Period,sqn_admin+,sqn_admin+,is_archived,dependency-gated,squadron_id,"via parade night, not a direct column",version,ScheduledSession,removed,no,session-*.spec.ts,CANONICAL
Session Audience,Which classes a Session targets,SessionAudience,session_audience,id,Parade Night detail,Class chips when placing,sqn_admin+,sqn_admin+,no is_archived,cascade with session,none (inherits session),none,none,none,n/a,no,session-training-classes.spec.ts,CANONICAL
Curriculum / Program Item,A training requirement,CurriculumItem,curriculum_items,id,Curriculum,Backlog and gap analysis,wing/national,scope-dependent,is_archived,restricted,wing_id + squadron_id,not year-scoped,created_by/updated_by,ProgramItem / ProgramPackage / LearningHubResource,BOTH LIVE: CurriculumItem 117 router refs vs ProgramItem 16,YES - Part 41,curriculum tests,DUPLICATED - MIGRATION REQUIRED
Activity,An event the squadron must plan around,Activity,activities,id,Activities,Timeline anchor,scope-dependent,owning scope only,is_archived,dependency-gated,national_id + wing_id + squadron_id (inheritance),NOT year-scoped - see gap,created_by/updated_by,none,n/a,no,activities-inheritance.spec.ts,CANONICAL (not year-scoped; Inherited Activities filters by date range instead)
