ID,Priority,Frontend,Category,Finding,Root cause file,Root cause location,Effort,Authorisation required,Status
F-NAV-01,P0,Main TMS,Navigation,Mobile nav completely absent — no hamburger no drawer,connected-frontend/index.html,CSS media queries hide sidebar with no mobile replacement,Medium — add toggle + slide-in drawer + CSS transition,None,Open
A11Y-01,P0,Main TMS,Accessibility,83 unlabeled select elements (2 fixed),connected-frontend/index.html,Systemic — all <select> lack aria-label or associated <label>,High — audit each distinct select pattern and add labels,None,Open (2/85 done)
A11Y-02,P1,Main TMS,Accessibility,Color contrast 40-43 violations per page — fix committed locally not deployed,connected-frontend/index.html,Commit ca785b4 not deployed to staging/production,Low — deploy ca785b4 to staging then production,Production deploy approval,Locally fixed — deploy pending
F-FUNC-01,P1,Main TMS,Permission bug,national_viewer shown Audit nav link but gets 403,connected-frontend/index.html + backend/app/routers/organisations.py,NAV_BY_SCOPE.national includes audit; _AUDIT_READ_ROLES excludes national_viewer,Low — either add national_viewer to _AUDIT_READ_ROLES or split NAV_BY_SCOPE,None (design choice between options),Open
F-NAV-02,P1,Both,Navigation,Login flow asymmetry (5-step Main TMS vs 1-step PW),connected-frontend/index.html (auth flow) vs frontend/src/auth/LoginPage.tsx,Intentional security difference but user-facing inconsistency,Design decision required before code change,Design decision,Open — awaiting design decision
F-CONT-01,P1,Main TMS,Content,Wing Overview readiness table too dense — barely legible,connected-frontend/index.html,Table renders at very small effective font size at 1440px,Medium — redesign table with pagination or collapsible rows,None,Open
A11Y-03,P2,Main TMS,Accessibility,No h1 anywhere in the SPA,connected-frontend/index.html,All page titles are div/span not heading elements,Low-Medium — add h1 to each page-{id} block,None,Open
A11Y-04,P2,Main TMS,Accessibility,No landmark regions (nav/main/header),connected-frontend/index.html,div-only structure throughout,Low — add role attributes or replace key divs with semantic elements,None,Open
F-NAV-03,P2,Both,Navigation,Cross-app navigation asymmetric,connected-frontend/index.html,Planning Workspace link conditionally shown; Main TMS link not always visible,Low — make PW link always visible for sqn_admin,None,Open
F-DS-01,P2,Both,Design,Active nav treatment differs between apps,index.html vs frontend/src/layout/AppShell.tsx,Border-indicator (Main TMS) vs filled block (PW),Design decision required before code change,Design decision,Open
F-DS-02,P2,Both,Design,Section/page labels differ between apps,index.html + frontend/src/layout/AppShell.tsx,Needs Attention (Main TMS) vs Action Items (PW) for same page,Low — align labels after design decision,Design decision,Open
F-CONT-02,P2,Main TMS,Content,__APP_BUILD__ placeholder not resolved in System Console,RUN_TMS_CONNECTED_FRONTEND_MAC.sh,Script may not have run the sed substitution correctly,Low — investigate and fix the substitution step,None,Open
F-CONT-03,P3,Main TMS,Content,Weekly Program empty state lacks guidance,connected-frontend/index.html,No instructional text below the parade night dropdown,Low — add subtitle or helper text,None,Open
F-NAV-04,P3,Both,Design,Sign Out capitalisation inconsistency,index.html vs frontend/src/layout/AppShell.tsx,String literal difference,Trivial,None,Open
F-CONT-05,P3,Main TMS,Content,Debug bar shown on all pages in dev/pilot mode,connected-frontend/index.html,Intentional for pilot — verify hidden in production CSS/env,Low — verify condition,None,Open — verify
A11Y-05,P2,Both,Accessibility,Keyboard-only navigation not tested,—,Requires manual interactive test,Medium — manual test session,None,Not assessed
A11Y-06,P2,Both,Accessibility,Screen reader (VoiceOver/NVDA) not tested,—,Requires manual test environment,Medium — manual test session,None,Not assessed
