requirement_id,requirement,source,current_state,evidence_file,evidence_symbol,gap,implementation_decision,implementation_files,test,staging_evidence,status,exception,reason
P00-01,Invoke /superpowers before implementation,Part 0,/superpowers unavailable as a single command; component skills used,docs/final/00-baseline.md,"brainstorming, writing-plans, systematic-debugging, verification-before-completion",No umbrella command,Substitution recorded per Part 0,docs/final/00-baseline.md,n/a,n/a,INTENTIONALLY NOT APPLICABLE,Command not present in this environment,Part 0 requires stating unavailability and substituting the methodology; done
P00-02,Use /frontend-design,Part 0,"Invoked for year selector and toast work; B-12 visual rubric pass 2026-09-20: AAFC token palette correct throughout, Montserrat font, no native dialogs visible, XSS esc() used, error display follows inline→toast pattern",connected-frontend/index.html,".year-nav-ctrl, --toast-pad-*, design-token audit 2026-09-20",System-wide automated rubric not run; visual+code spot-check performed,Applied per-component plus system-wide spot-check 2026-09-20,connected-frontend/index.html,year-bar.spec.ts,staging df3fff6,PASS,Not a full automated rubric run; visual+code check passes all observable frontend.md rules,Part 99 full automated pass not executed; all checkable rules verified by inspector and code scan
P00-03,Use /apple-design across representative screens,"Part 0, Part 98",Run 2026-09-20: 5 G1 failures found and fixed in connected-frontend/index.html; G3-G12 visual PASS across Dashboard/ParadeNights/Curriculum/Activities screens,connected-frontend/index.html,"maint-banner.pending color:#111111; Cancelled/Absent/cancelled/UPDATE badges: --warn→--warn-text",None remaining after fixes,Fixes applied + browser-verified via computed styles,connected-frontend/index.html,visual browser evidence 2026-09-20,,PASS,G11/G12 (semantics/focus) deferred to B-13 axe audit,G1 fixes verified: 0 elements with rgb(201-122-0) text color in DOM; all amber text ≥4.5:1
P00-04,Run /ultrareview on the whole codebase,"Part 0, Part 100","User ran /code-review ultra 2026-09-21 against release/final-production-qualification HEAD 7f66e812; IN PROGRESS — findings to be incorporated before TECHNICAL GO",docs/release/production-readiness-audit.md,B-17 ultrareview in progress,Findings not yet available; will be incorporated before staging deploy,Incorporate P0/P1 findings before declaring TECHNICAL GO,,,,HUMAN DECISION REQUIRED,,Ultrareview running 2026-09-21; this row closes when findings are incorporated
P04-01,Record baseline before implementation,Part 4,Complete,docs/final/00-baseline.md,BASELINE SHA fecbcde,none,"Measured, not carried over",docs/final/00-baseline.md,n/a,n/a,PASS,,
P05-01,Reconcile PR #49 without duplicating it,Part 5,Complete; PR #49 merged 2026-08-29,docs/final/05-pr49-reconciliation.md,PR #49 MERGED,Instruction premise was stale,"Reuse, do not reimplement",docs/final/05-pr49-reconciliation.md,n/a,staging df3fff6,PASS,,"Recorded that recovery is implemented, not design-only"
P03-01,Canonical entity register for ~24 domain objects,Part 3,Not written,,,docs/final/canonical-entity-register.csv absent,Required next,,,,FAIL,,Not yet produced
P07-01,Rebuild TMS/PW ownership matrix from final code,Part 7,Not written,,,docs/final/02-tms-pw-ownership-matrix.md absent,Required,,,,FAIL,,
P08-01,Remove duplicated PW management workflows,Part 8,12+ duplicate PW routes still present,frontend/src,/accounts /admin /audit /cadets /curriculum /facilitators /imports /reports /report-catalogue /resources /settings /national-overview,No route dispositioned yet,Per-route A-G disposition required,frontend/src,,,FAIL,,Measured 24 PW routes; duplicates confirmed present
P09-01,TMS->PW handoff preserves squadron and year,Part 9,Implemented,connected-frontend/index.html; frontend/src/routes/PlanningWorkspace.tsx,resolveYearSelection,none,"Year integer, not UUID",frontend/src/routes/PlanningWorkspace.tsx,resolveYearSelection.test.ts (9),staging df3fff6,IMPLEMENTED,,
